fold,draw_weight,fixture_id,kickoff,home_team_id,away_team_id,actual,prediction,p_home,p_draw,p_away,confidence,best_iteration,features_count,correct,max_non_draw,draw_rank
Fold 3,1.0,1753,2025-05-24 19:00:00,97,98,D,H,0.5624767309375307,0.2151919372305526,0.2223313318319167,0.5624767309375307,273,60,False,0.5624767309375307,3.0
Fold 2,1.0,944,2025-04-12 13:30:00,48,55,D,H,0.6152054959554437,0.2106230019862034,0.1741715020583528,0.6152054959554437,44,60,False,0.6152054959554437,2.0
Fold 3,1.0,1726,2025-05-11 19:00:00,91,96,D,H,0.6802427766388969,0.208850303118508,0.1109069202425951,0.6802427766388969,273,60,False,0.6802427766388969,2.0
Fold 2,1.0,1670,2025-04-05 19:00:00,79,91,D,H,0.6402280306088085,0.2017754236004969,0.1579965457906946,0.6402280306088085,44,60,False,0.6402280306088085,2.0
Fold 3,1.0,1362,2025-05-18 18:45:00,71,77,D,A,0.1557635877372945,0.2001296119626296,0.6441068003000759,0.6441068003000759,273,60,False,0.6441068003000759,2.0
Fold 3,1.0,1734,2025-05-15 17:00:00,97,91,D,A,0.3016909131506973,0.1955167041789536,0.5027923826703492,0.5027923826703492,273,60,False,0.5027923826703492,3.0
Fold 3,1.0,294,2025-05-10 19:00:00,33,38,D,A,0.2480416164205385,0.1912472755470561,0.5607111080324053,0.5607111080324053,273,60,False,0.5607111080324053,3.0
Fold 3,1.0,1715,2025-05-04 19:00:00,94,81,D,A,0.2412430465177726,0.1827840643792916,0.5759728891029358,0.5759728891029358,273,60,False,0.5759728891029358,3.0
Fold 3,1.0,684,2025-05-25 15:00:00,6,16,D,H,0.7461597941044543,0.1570131678316437,0.0968270380639019,0.7461597941044543,273,60,False,0.7461597941044543,2.0
Fold 3,1.0,661,2025-05-10 14:00:00,7,14,D,A,0.1288934120821655,0.1527163765830693,0.7183902113347651,0.7183902113347651,273,60,False,0.7183902113347651,2.0
