fold,fixture_id,actual,cat_prediction,cat_p_home,cat_p_draw,cat_p_away,hybrid_prediction,hybrid_p_home,hybrid_p_draw,hybrid_p_away,cat_correct,hybrid_correct,changed
Fold 1,183,H,A,0.3163519708999028,0.2846872744367986,0.3989607546632984,A,0.3396204394611103,0.2733440850949618,0.3870354754439279,False,False,False
Fold 1,1228,A,A,0.2544003534524968,0.2342943173519881,0.5113053291955151,A,0.2631276193488038,0.2373059726497659,0.4995664080014302,True,True,False
Fold 1,875,D,H,0.4183390012661229,0.2752161089566869,0.3064448897771902,H,0.3753051570306713,0.261589089241994,0.3631057537273345,False,False,False
Fold 1,1600,A,H,0.4230144355011349,0.2619192750907479,0.3150662894081171,H,0.3784901672319342,0.2563947531823142,0.3651150795857515,False,False,False
Fold 1,184,A,H,0.6461367586549654,0.2102033427721749,0.1436598985728595,H,0.6160785048416892,0.2186152354731326,0.165306259685178,False,False,False
Fold 1,1229,D,H,0.4559589625019169,0.2587597122400544,0.2852813252580286,H,0.4352168173985038,0.265518440525913,0.2992647420755832,False,False,False
Fold 1,1601,D,H,0.4749340081843151,0.2758423402919837,0.2492236515237013,H,0.4597566298700373,0.263442685794349,0.2768006843356138,False,False,False
Fold 1,185,A,A,0.3529419486972192,0.2664872271305182,0.3805708241722625,A,0.3541531923374432,0.262416921606542,0.3834298860560148,True,True,False
Fold 1,1230,A,A,0.2633968201247967,0.2345787207456736,0.5020244591295296,A,0.2721872686791383,0.2402330746245725,0.487579656696289,True,True,False
Fold 1,1602,A,H,0.3688540875514605,0.2994756428765673,0.3316702695719722,H,0.360583903500915,0.2908770272928124,0.3485390692062725,False,False,False
Fold 1,186,H,H,0.5636437390529376,0.2371734004514042,0.199182860495658,H,0.5293235629535805,0.2438163364621734,0.226860100584246,True,True,False
Fold 1,1231,H,H,0.6015726945481159,0.2301678319817798,0.1682594734701043,H,0.5733418180979996,0.2324839158661759,0.1941742660358245,True,True,False
Fold 1,1232,H,H,0.4505880060912419,0.2749138168523671,0.2744981770563909,H,0.4483219841072591,0.2654793145911362,0.2861987013016047,True,True,False
Fold 1,876,D,A,0.3693391541146996,0.2505741876954582,0.3800866581898421,H,0.4088219207469126,0.2428443444609475,0.3483337347921398,False,False,True
Fold 1,1603,H,A,0.3606301288068639,0.2571051935574198,0.3822646776357162,A,0.3666193085381255,0.2594024153201748,0.3739782761416996,False,False,False
Fold 1,187,H,H,0.5004442574452619,0.2563544152803743,0.2432013272743637,H,0.505535523787247,0.252829927572223,0.2416345486405301,True,True,False
Fold 1,188,D,A,0.3302931560655648,0.2542318587884472,0.4154749851459879,A,0.3532894083087894,0.256282233559416,0.3904283581317946,False,False,False
Fold 1,877,H,H,0.4551442072485052,0.2640214690235806,0.280834323727914,H,0.4427261294954901,0.2582179326694293,0.2990559378350806,True,True,False
Fold 1,1233,D,A,0.2407281023217572,0.2687913827327476,0.490480514945495,A,0.2416700865016666,0.2600877104660568,0.4982422030322767,False,False,False
Fold 1,1604,H,H,0.5551095464719978,0.2290963519675315,0.2157941015604706,H,0.5164608759996893,0.2407717201226691,0.2427674038776415,True,True,False
Fold 1,189,A,A,0.2293413723099883,0.2392258309238732,0.5314327967661385,A,0.2349893563767471,0.2392684441872298,0.525742199436023,True,True,False
Fold 1,1234,D,H,0.4108539549990102,0.3020916815283809,0.2870543634726089,H,0.4313997464165371,0.289049493647893,0.2795507599355698,False,False,False
Fold 1,1605,A,A,0.2537117946688134,0.2911449473445714,0.4551432579866152,A,0.2371527575185107,0.2660195271284243,0.4968277153530648,True,True,False
Fold 1,1235,H,H,0.6307472383204535,0.2166508951498348,0.1526018665297116,H,0.5831057084402942,0.2207574690988049,0.1961368224609009,True,True,False
Fold 1,1606,D,H,0.4494553793252144,0.2850977177549705,0.265446902919815,H,0.4280689463558397,0.2759092847301727,0.2960217689139875,False,False,False
Fold 1,548,D,A,0.2432432778397322,0.2535499592088229,0.503206762951445,A,0.2249836812386265,0.2431751034861697,0.5318412152752038,False,False,False
Fold 1,878,D,A,0.3361403076488692,0.2931617179758317,0.3706979743752991,A,0.3268714057242242,0.2802055006622715,0.3929230936135042,False,False,False
Fold 1,190,D,H,0.5351583967738259,0.2428172014580158,0.2220244017681583,H,0.5143231187053872,0.238140687836508,0.2475361934581048,False,False,False
Fold 1,1236,H,H,0.5287506255068606,0.2465523006613272,0.2246970738318122,H,0.5006412551110088,0.2492965082322758,0.2500622366567154,True,True,False
Fold 1,549,H,A,0.3151065547970541,0.2977835016961367,0.3871099435068091,A,0.3168139766485622,0.281048093469777,0.4021379298816608,False,False,False
Fold 1,1607,A,H,0.4681594413843997,0.2849758078331657,0.2468647507824345,H,0.4343040004930562,0.2769911705386607,0.2887048289682829,False,False,False
Fold 1,550,A,A,0.2721616261074261,0.2441037048802623,0.4837346690123116,A,0.2370470493046808,0.2294320092260426,0.5335209414692765,True,True,False
Fold 1,1608,D,H,0.3664977701853912,0.2780843045399298,0.3554179252746788,A,0.3527732488802864,0.2713721956557726,0.3758545554639409,False,False,True
Fold 1,1237,D,H,0.6286145483156164,0.2158097055221757,0.1555757461622079,H,0.6067514215353448,0.2200583227259576,0.1731902557386976,False,False,False
